frame_number,row,text
2760,1,1 kenny.png killed 2 envoy.png
2760,2,no matches
2790,0,2 ghosty.png killed 1 kenny.png
2790,1,1 kenny.png killed 2 envoy.png
2790,2,no matches
2820,0,no matches
2820,1,2 ghosty.png killed 1 kenny.png
2820,2,no matches
2850,0,2 hydra.png killed 1 dashy.png
2850,1,2 ghosty.png killed 1 kenny.png
2850,2,no matches
2880,0,no matches
2880,1,no matches
2880,2,no matches
2910,0,no matches
2910,1,2 hydra.png killed 1 dashy.png
2910,2,no matches
2940,0,no matches
2940,1,no matches
2940,2,no matches
2970,0,no matches
2970,1,no matches
2970,2,no matches
3000,0,no matches
3000,1,no matches
3000,2,no matches
3030,0,2 ghosty.png killed 1 shotzzy.png
3030,1,2 hydra.png killed 1 dashy.png
3030,2,no matches
3060,0,no matches
3060,1,no matches
3060,2,no matches
3090,0,1 pred.png killed 2 ghosty.png
3090,1,no matches
3090,2,no matches
3120,0,no matches
3120,1,2 ghosty.png killed 1 shotzzy.png
3120,2,no matches
3150,0,no matches
3150,1,no matches
3150,2,no matches
3180,0,no matches
3180,1,no matches
3180,2,no matches
3210,0,no matches
3210,1,no matches
3210,2,no matches
3240,0,no matches
3240,1,no matches
3240,2,no matches
3270,0,2 scrap.png killed 1 pred.png
3270,1,1 pred.png killed 2 ghosty.png
3270,2,no matches
3300,0,2 scrap.png killed 1 pred.png
3300,1,no matches
3300,2,no matches
3330,0,2 scrap.png killed 1 pred.png
3330,1,1 pred.png killed 2 ghosty.png
3330,2,no matches
3360,0,2 scrap.png killed 1 pred.png
3360,1,no matches
3360,2,no matches
3390,0,no matches
3390,1,no matches
3390,2,no matches
3420,0,no matches
3420,1,no matches
3420,2,no matches
3450,0,2 scrap.png killed 1 pred.png
3450,1,no matches
3450,2,no matches
3480,0,2 scrap.png killed 1 pred.png
3480,1,no matches
3480,2,no matches
3510,0,no matches
3510,1,no matches
3510,2,no matches
3540,0,no matches
3540,1,no matches
3540,2,no matches
3570,0,2 scrap.png killed 1 shotzzy.png
3570,1,2 scrap.png killed 1 pred.png
3570,2,no matches
3600,0,no matches
3600,1,no matches
3600,2,no matches
3630,0,no matches
3630,1,no matches
3630,2,no matches
3660,0,2 scrap.png killed 1 shotzzy.png
3660,1,no matches
3660,2,no matches
3690,0,1 dashy.png killed 2 ghosty.png
3690,1,2 scrap.png killed 1 shotzzy.png
3690,2,no matches
3720,0,1 dashy.png killed 2 ghosty.png
3720,1,2 scrap.png killed 1 shotzzy.png
3720,2,no matches
3750,0,1 dashy.png killed 2 ghosty.png
3750,1,2 scrap.png killed 1 shotzzy.png
3750,2,no matches
3780,0,1 dashy.png killed 2 ghosty.png
3780,1,no matches
3780,2,no matches
3810,0,1 dashy.png killed 2 ghosty.png
3810,1,no matches
3810,2,no matches
3840,0,1 dashy.png killed 2 ghosty.png
3840,1,no matches
3840,2,no matches
3870,0,1 dashy.png killed 2 ghosty.png
3870,1,no matches
3870,2,no matches
3900,0,no matches
3900,1,no matches
3900,2,no matches
3930,0,1 dashy.png killed 2 ghosty.png
3930,1,no matches
3930,2,no matches
3960,0,1 dashy.png killed 2 ghosty.png
3960,1,no matches
3960,2,no matches
3990,0,no matches
3990,1,no matches
3990,2,no matches
4020,0,no matches
4020,1,no matches
4020,2,no matches
4050,0,no matches
4050,1,no matches
4050,2,no matches
4080,0,no matches
4080,1,no matches
4080,2,no matches
4110,0,2 envoy.png killed 1 kenny.png
4110,1,no matches
4110,2,no matches
4140,0,no matches
4140,1,no matches
4140,2,no matches
4170,0,no matches
4170,1,no matches
4170,2,no matches
4200,0,2 envoy.png killed 1 kenny.png
4200,1,no matches
4200,2,no matches
4230,0,2 envoy.png killed 1 kenny.png
4230,1,no matches
4230,2,no matches
4260,0,no matches
4260,1,no matches
4260,2,no matches
4290,0,no matches
4290,1,no matches
4290,2,no matches
4320,0,no matches
4320,1,no matches
4320,2,no matches
4350,0,2 envoy.png killed 1 kenny.png
4350,1,no matches
4350,2,no matches
4380,0,2 envoy.png killed 1 kenny.png
4380,1,no matches
4380,2,no matches
4410,0,no matches
4410,1,no matches
4410,2,no matches
4440,0,no matches
4440,1,no matches
4440,2,no matches
4470,0,no matches
4470,1,no matches
4470,2,no matches
4500,0,no matches
4500,1,no matches
4500,2,no matches
4530,0,no matches
4530,1,no matches
4530,2,no matches
4560,0,no matches
4560,1,no matches
4560,2,no matches
4590,0,2 hydra.png killed 1 dashy.png
4590,1,no matches
4590,2,no matches
4620,0,no matches
4620,1,no matches
4620,2,no matches
4650,0,no matches
4650,1,no matches
4650,2,no matches
4680,0,no matches
4680,1,no matches
4680,2,no matches
4710,0,no matches
4710,1,no matches
4710,2,no matches
4740,0,no matches
4740,1,no matches
4740,2,no matches
4770,0,1 kenny.png killed 2 envoy.png
4770,1,2 hydra.png killed 1 dashy.png
4770,2,no matches
4800,0,1 kenny.png killed 2 envoy.png
4800,1,2 hydra.png killed 1 dashy.png
4800,2,no matches
4830,0,1 kenny.png killed 2 envoy.png
4830,1,2 hydra.png killed 1 dashy.png
4830,2,no matches
4860,0,1 kenny.png killed 2 envoy.png
4860,1,2 hydra.png killed 1 dashy.png
4860,2,no matches
4890,0,1 kenny.png killed 2 envoy.png
4890,1,no matches
4890,2,no matches
4920,0,no matches
4920,1,no matches
4920,2,no matches
4950,0,1 shotzzy.png killed 2 scrap.png
4950,1,1 kenny.png killed 2 envoy.png
4950,2,no matches
4980,0,2 hydra.png killed 1 shotzzy.png
4980,1,1 shotzzy.png killed 2 scrap.png
4980,2,no matches
5010,0,2 hydra.png killed 1 shotzzy.png
5010,1,no matches
5010,2,no matches
5040,0,no matches
5040,1,no matches
5040,2,no matches
5070,0,no matches
5070,1,no matches
5070,2,no matches
5100,0,1 pred.png killed 2 hydra.png
5100,1,2 hydra.png killed 1 shotzzy.png
5100,2,no matches
5130,0,1 pred.png killed 2 hydra.png
5130,1,2 hydra.png killed 1 shotzzy.png
5130,2,no matches
5160,0,1 pred.png killed 2 hydra.png
5160,1,2 hydra.png killed 1 shotzzy.png
5160,2,no matches
5190,0,1 pred.png killed 2 hydra.png
5190,1,2 hydra.png killed 1 shotzzy.png
5190,2,no matches
5220,0,2 ghosty.png killed 1 kenny.png
5220,1,1 pred.png killed 2 hydra.png
5220,2,no matches
5250,0,2 ghosty.png killed 1 kenny.png
5250,1,1 pred.png killed 2 hydra.png
5250,2,no matches
5280,0,2 ghosty.png killed 1 kenny.png
5280,1,1 pred.png killed 2 hydra.png
5280,2,no matches
5310,0,no matches
5310,1,1 pred.png killed 2 hydra.png
5310,2,no matches
5340,0,2 ghosty.png killed 1 kenny.png
5340,1,no matches
5340,2,no matches
